DATA UMAT PAROKI HATI KUDUS TUHAN YESUS PUGERAN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
No,Nama Lingkungan,Jumlah KK,Jumlah Umat Laki-Laki,Jumlah Umat Perempuan
1,BANGUNJIWO BARAT,66,89,113
2,BANGUNJIWO SERASI,26,51,46
3,BANGUNJIWO TIMUR,46,74,78
4,BRONTOKUSUMAN,51,53,63
5,BUGISAN KIDUL,23,28,30
6,BUGISAN LOR,9,12,9
7,BUGISAN WETAN,34,37,58
8,DANUNEGARAN,37,49,57
9,DONGKELAN,46,77,77
10,DRUWO,37,50,53
11,DUKUH UTARA,81,118,118
12,GAMELAN,69,83,111
13,GEDONGKIWO SELATAN,84,116,124
14,GEDONGKIWO TENGAH,68,82,105
15,GEDONGKIWO UTARA,92,141,122
16,GENDINGAN,81,118,118
17,GLONDONG,68,97,93
18,GROJOGAN,31,45,42
19,GUNUNG SEMPU KULON,31,57,60
20,GUNUNG SEMPU WETAN,22,36,39
21,JEBLOG,38,62,62
22,JOGOKARYAN,78,113,128
23,JOGONALAN KIDUL,66,88,114
24,JOGONALAN LOR 1,62,101,98
25,JOGONALAN LOR 2,65,85,99
26,JOMEGATAN KULON,65,87,104
27,JOMEGATAN WETAN,39,70,60
28,KADIPATEN KIDUL,38,49,56
29,KADIPATEN WETAN,67,94,93
30,KASONGAN PERMAI,29,55,65
31,KEMBARAN KIDUL,49,68,83
32,KEMBARAN KULON,31,55,73
33,KEMBARAN WETAN,40,63,63
34,KETANGGUNGAN KIDUL,49,56,63
35,KETANGGUNGAN LOR,47,57,64
36,KETANGGUNGAN WETAN,37,51,60
37,KUMENDAMAN SELATAN,40,52,66
38,KUMENDAMAN UTARA,46,60,75
39,KWENI,43,66,66
40,LANGENASTRAN,26,25,35
41,MANGKUYUDAN,65,71,110
42,MANTRIJERON,43,46,56
43,MINGGIRAN SELATAN,70,93,108
44,MINGGIRAN UTARA,58,64,78
45,NGADINEGARAN,31,41,47
46,NGADISURYAN,56,58,85
47,NGASEM,48,66,76
48,NGEBEL,46,76,81
49,NITIPRAYAN KIDUL,69,107,114
50,NITIPRAYAN LOR,56,89,90
51,NITIPURAN,47,56,83
52,PADOKAN KIDUL SELATAN,57,89,85
53,PADOKAN KIDUL TENGAH,43,60,83
54,PADOKAN LOR,58,64,89
55,PATANGPULUHAN KIDUL,36,59,65
56,PATANGPULUHAN LOR,49,57,67
57,PATANGPULUHAN WETAN,21,44,40
58,PATEHAN,36,52,47
59,PELEM SEWU,64,104,107
60,PUGERAN BARAT,63,74,82
61,PUGERAN TIMUR,30,31,53
62,PUSPA PRIMA,55,87,98
63,RATA KENANGA,17,26,31
64,SEMAIL,65,97,110
65,SERANGAN,28,37,46
66,SIDOREJO,44,76,73
67,SINDUREJAN KULON,19,34,33
68,SINDUREJAN WETAN,37,51,59
69,SONOPAKIS,81,109,106
70,SONOSEWU,77,95,118
71,SRIBITAN,28,43,53
72,SURYODININGRATAN BARAT,72,91,115
73,SURYODININGRATAN TIMUR,75,81,109
74,SURYOPUTRAN,54,82,78
75,SURYOWIJAYAN SELATAN,61,84,74
76,SURYOWIJAYAN UTARA,53,49,66
77,TAMAN SELATAN,64,86,99
78,TAMAN UTARA,46,65,68
79,TAMANTIRTO,55,89,89
80,TEJOKUSUMAN,30,37,47
81,TIMURAN,47,55,75
82,WIROBRAJAN KULON KIDUL,42,53,70
83,WIROBRAJAN KULON LOR,36,40,50
84,WIROBRAJAN KULON TENGAH,45,63,76
85,WIROBRAJAN WETAN KIDUL,29,32,47
86,WIROBRAJAN WETAN LOR,24,34,36
87,WIROBRAJAN WETAN TENGAH,27,37,32
88,WOJO,34,44,52
