LINGKUNGAN,PAL,KET,KEUSKUPAN,PAROKI,WILAYAH,NMUSKUP,NMPAROKI,NMWILAYAH,VAL1,VAL2,VAL3
30006012002,2,SIDOREJO,30,30006,30006012,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,NGESTIHARJO LOR,30,6,2
30006012004,4,SONOSEWU,30,30006,30006012,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,NGESTIHARJO LOR,30,6,2
30006004003,3,PELEM SEWU,30,30006,30006004,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TENGAH SELATAN,30,6,3
30006004005,5,SURYODININGRATAN TIMUR,30,30006,30006004,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TENGAH SELATAN,30,6,3
30006010001,1,KETANGGUNGAN KIDUL,30,30006,30006010,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,KETANGGUNGAN,30,6,1
30006010002,2,KETANGGUNGAN LOR,30,30006,30006010,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,KETANGGUNGAN,30,6,1
30006010003,3,KETANGGUNGAN WETAN,30,30006,30006010,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,KETANGGUNGAN,30,6,1
30006012001,1,NITIPURAN,30,30006,30006012,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,NGESTIHARJO LOR,30,6,2
30006012003,3,SONOPAKIS,30,30006,30006012,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,NGESTIHARJO LOR,30,6,2
30006006003,3,JOGOKARYAN,30,30006,30006006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TIMUR,30,6,1
30006013004,4,PADOKAN KIDUL SELATAN,30,30006,30006013,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PADOKAN,30,6,13
30006018001,1,WIROBRAJAN KULON LOR,30,30006,30006018,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,WIROBRAJAN,30,6,18
30006018003,3,WIROBRAJAN KULON KIDUL,30,30006,30006018,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,WIROBRAJAN,30,6,18
30006018006,6,WIROBRAJAN WETAN KIDUL,30,30006,30006018,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,WIROBRAJAN,30,6,18
30006013001,1,JEBLOG,30,30006,30006013,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PADOKAN,30,6,13
30006013002,2,PADOKAN LOR,30,30006,30006013,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PADOKAN,30,6,13
30006018002,2,WIROBRAJAN KULON TENGAH,30,30006,30006018,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,WIROBRAJAN,30,6,18
30006018004,4,WIROBRAJAN WETAN LOR,30,30006,30006018,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,WIROBRAJAN,30,6,18
30006018005,5,WIROBRAJAN WETAN TENGAH,30,30006,30006018,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,WIROBRAJAN,30,6,18
30006013003,3,PADOKAN KIDUL TENGAH,30,30006,30006013,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PADOKAN,30,6,13
30006017001,1,GUNUNG SEMPU WETAN,30,30006,30006017,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,TAMANTIRTO,30,6,17
30006017002,2,GUNUNG SEMPU KULON,30,30006,30006017,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,TAMANTIRTO,30,6,17
30006017003,3,NGEBEL,30,30006,30006017,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,TAMANTIRTO,30,6,2
30006002001,1,BANGUNJIWO BARAT,30,30006,30006002,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNJIWO,30,6,1
30006002002,2,BANGUNJIWO SERASI,30,30006,30006002,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNJIWO,30,6,1
30006002003,3,BANGUNJIWO TIMUR,30,30006,30006002,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNJIWO,30,6,1
30006002004,4,KASONGAN PERMAI,30,30006,30006002,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNJIWO,30,6,1
30006002005,5,PUSPA PRIMA,30,30006,30006002,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNJIWO,30,6,1
30006002006,6,RATA KENANGA,30,30006,30006002,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNJIWO,30,6,1
30006004004,4,SURYODININGRATAN BARAT,30,30006,30006004,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TENGAH SELATAN,30,6,3
30006008003,3,NGASEM,30,30006,30006008,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,KADIPATEN,30,6,1
30006017004,4,TAMANTIRTO,30,30006,30006017,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,TAMANTIRTO,30,6,2
30006008002,2,KADIPATEN WETAN,30,30006,30006008,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,KADIPATEN,30,6,1
30006014001,1,GAMELAN,30,30006,30006014,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PANEMBAHAN,30,6,2
30006014002,2,LANGENASTRAN,30,30006,30006014,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PANEMBAHAN,30,6,2
30006014003,3,SURYOPUTRAN,30,30006,30006014,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PANEMBAHAN,30,6,2
30006001001,1,DRUWO,30,30006,30006001,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNHARJO,30,6,1
30006001002,2,GROJOGAN,30,30006,30006001,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNHARJO,30,6,1
30006001003,3,SEMAIL,30,30006,30006001,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNHARJO,30,6,1
30006011001,1,NITIPRAYAN LOR,30,30006,30006011,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,NGESTIHARJO KIDUL,30,6,11
30006011002,2,NITIPRAYAN KIDUL,30,30006,30006011,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,NGESTIHARJO KIDUL,30,6,11
30006011003,3,JOMEGATAN KULON,30,30006,30006011,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,NGESTIHARJO KIDUL,30,6,11
30006011004,4,JOMEGATAN WETAN,30,30006,30006011,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,NGESTIHARJO KIDUL,30,6,11
30006015001,1,BUGISAN KIDUL,30,30006,30006015,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATANGPULUHAN,30,6,1
30006015004,4,PATANGPULUHAN KIDUL,30,30006,30006015,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATANGPULUHAN,30,6,15
30006015005,5,PATANGPULUHAN WETAN,30,30006,30006015,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATANGPULUHAN,30,6,15
30006003001,1,GENDINGAN,30,30006,30006003,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA BARAT,30,6,1
30006004001,1,MINGGIRAN SELATAN,30,30006,30006004,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TENGAH SELATAN,30,6,2
30006008001,1,KADIPATEN KIDUL,30,30006,30006008,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,KADIPATEN,30,6,3
30006005001,1,KUMENDAMAN SELATAN,30,30006,30006005,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TENGAH UTARA,30,6,2
30006005002,2,KUMENDAMAN UTARA,30,30006,30006005,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TENGAH UTARA,30,6,2
30006005004,4,PUGERAN TIMUR,30,30006,30006005,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TENGAH UTARA,30,6,2
30006001004,4,WOJO,30,30006,30006001,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,BANGUNHARJO,30,6,3
30006006001,1,BRONTOKUSUMAN,30,30006,30006006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TIMUR,30,6,1
30006006002,2,DANUNEGARAN,30,30006,30006006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TIMUR,30,6,1
30006006004,4,MANGKUYUDAN,30,30006,30006006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TIMUR,30,6,1
30006006005,5,MANTRIJERON,30,30006,30006006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TIMUR,30,6,1
30006006006,6,NGADINEGARAN,30,30006,30006006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TIMUR,30,6,1
30006006007,7,TIMURAN,30,30006,30006006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TIMUR,30,6,1
30006007001,1,DONGKELAN,30,30006,30006007,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,JOGONALAN,30,6,1
30006007002,2,JOGONALAN KIDUL,30,30006,30006007,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,JOGONALAN,30,6,7
30006007003,3,GLONDONG,30,30006,30006007,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,JOGONALAN,30,6,7
30006007005,5,JOGONALAN LOR 2,30,30006,30006007,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,JOGONALAN,30,6,1
30006007006,6,KWENI,30,30006,30006007,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,JOGONALAN,30,6,1
30006007004,4,JOGONALAN LOR 1,30,30006,30006007,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,JOGONALAN,30,6,1
30006003002,2,SERANGAN,30,30006,30006003,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA BARAT,30,6,1
30006003003,3,SURYOWIJAYAN SELATAN,30,30006,30006003,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA BARAT,30,6,1
30006003004,4,SURYOWIJAYAN UTARA,30,30006,30006003,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA BARAT,30,6,1
30006003005,5,TEJOKUSUMAN,30,30006,30006003,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA BARAT,30,6,1
30006016001,1,NGADISURYAN,30,30006,30006016,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATEHAN,30,6,2
30006016002,2,PATEHAN,30,30006,30006016,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATEHAN,30,6,2
30006016003,3,TAMAN SELATAN,30,30006,30006016,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATEHAN,30,6,2
30006016004,4,TAMAN UTARA,30,30006,30006016,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATEHAN,30,6,2
30006009003,3,KEMBARAN WETAN,30,30006,30006009,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,KEMBARAN,30,6,2
30006015003,3,BUGISAN WETAN,30,30006,30006015,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATANGPULUHAN,30,6,1
30006015006,6,PATANGPULUHAN LOR,30,30006,30006015,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATANGPULUHAN,30,6,15
30006009002,2,KEMBARAN KULON,30,30006,30006009,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,KEMBARAN,30,6,2
30006005003,3,PUGERAN BARAT,30,30006,30006005,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,GEREJA TENGAH UTARA,30,6,3
30006015002,2,BUGISAN LOR,30,30006,30006015,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATANGPULUHAN,30,6,1
30006015007,7,SINDUREJAN WETAN,30,30006,30006015,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATANGPULUHAN,30,6,15
30006015008,8,SINDUREJAN KULON,30,30006,30006015,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,PATANGPULUHAN,30,6,15
30006009001,1,KEMBARAN KIDUL,30,30006,30006009,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,KEMBARAN,30,6,2
