PAROKI,PAL,KET,KOTA,KEUSKUPAN,NMUSKUP,VIKEP,NMVIKEP,VAL1
30001,,St. Yusuf - Ambarawa,AMBARAWA,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30002,,St. Yusuf - Gedangan,GEDANGAN,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30003,,St. Antonius - Purbayan,SOLO,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30004,,SPM Ratu Rosario - Semarang,SEMARANG,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30005,,Keluarga Kudus - Admodirono,SEMARANG,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30006,,Hati Kudus Tuhan Yesus - Pugeran,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30007,,St Thomas Rasul - Bedono,AMBARAWA,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30008,,St. Yusuf - Bintaran,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30009,,St. Paulus Miki - Salatiga,SALATIGA,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30010,,St. Petrus - Purwosari,SOLO,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30011,,St. Isidorus - Sukorejo,SUKOREJO,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30012,,Hati S. Maria Tak Bercela - Kumetiran,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30013,,St. Yusuf - Pati,PATI,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30014,,St. Yohanes Evangelista - Kudus,KUDUS,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30015,,St. Petrus & Paulus - Temanggung,TEMANGGUNG,30,KEUSKUPAN AGUNG SEMARANG,30004,KEV. KEDU,
30016,,Marganisngsih - Kalasan,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30017,,St. Maria Assumpta - Pakem,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30018,,St. Maria Bunda Penasehat - Wates,WATES,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30019,,St. Theresia Liseux - Boro,BORO,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30020,,Hati Kudus Tuhan Yesus - Ganjuran,GANJURAN,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30021,,St. Maria Assumpta - Klaten,KLATEN,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30022,,St. Maria Tak Bercela - Nanggulan,NANGGULAN,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30023,,St. Maria Lourdes - Promosan,PROMASAN,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30024,,Hati Yesus Yang Maha Kudus - Purwodadi,PURWODADI,30,KEUSKUPAN AGUNG SEMARANG,30001,KEV. SEMARANG,
30025,,St. Maria Bunda Kristus - Wedi,WEDI,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30026,,St. Yakobus - Bantul,BANTUL,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30027,,St. Pius X - Karanganyar,KARANGANYAR,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30028,,St. Yusuf Pekerja - Mertoyudan,MAGELANG,30,KEUSKUPAN AGUNG SEMARANG,30004,KEV. KEDU,
30029,,St. Antonius - Muntilan,MUNTILAN,30,KEUSKUPAN AGUNG SEMARANG,30004,KEV. KEDU,
30030,,St. Yohanes Rasul - Somohitan,SOMOHITAN,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30031,,St. Maria Fatima - Sragen,SRAGEN,30,KEUSKUPAN AGUNG SEMARANG,30002,KEV. SURAKARTA,
30032,,St. Petrus Canisius - Wonosari,WONOSARI,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
30033,,St. Maria Assumpta - Gamping,YOGYAKARTA,30,KEUSKUPAN AGUNG SEMARANG,30003,KEV. YOGYAKARTA,
