WILAYAH,PAL,KET,KEUSKUPAN,PAROKI,NMUSKUP,NMPAROKI,VAL1,VAL2
30006010,1.0,KETANGGUNGAN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006012,2.0,NGESTIHARJO LOR,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006004,3.0,GEREJA TENGAH SELATAN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006006,1.0,GEREJA TIMUR,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006018,1.0,WIROBRAJAN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006013,2.0,PADOKAN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006017,2.0,TAMANTIRTO,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006008,1.0,KADIPATEN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006014,2.0,PANEMBAHAN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006001,1.0,BANGUNHARJO,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006011,2.0,NGESTIHARJO KIDUL,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006015,1.0,PATANGPULUHAN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006009,2.0,KEMBARAN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006003,3.0,GEREJA BARAT UTARA,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006005,2.0,GEREJA TENGAH UTARA,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006007,1.0,JOGONALAN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006016,2.0,PATEHAN,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006002,,BANGUNJIWO,30,30006,Keuskupan Agung Semarang,Hati Kudus Tuhan Yesus - Pugeran,30,6
30006019,19.0,GEREJA BARAT SELATAN,30,30006,KEUSKUPAN AGUNG SEMARANG,Hati Kudus Tuhan Yesus - Pugeran,30,6
