kategori,jiwa,persen,disamarkan
Tidak tercatat,9427.0,74.7,False
Ekonomi,387.0,3.1,False
Pendidikan,318.0,2.5,False
Akuntansi,247.0,2.0,False
Manajemen,195.0,1.5,False
Teknik,195.0,1.5,False
Hukum,171.0,1.4,False
Sastra/Bahasa,164.0,1.3,False
Administrasi,99.0,0.8,False
Pertanian/Perkebunan,87.0,0.7,False
Komputer,80.0,0.6,False
Perhotelan/Pariwisata,65.0,0.5,False
Keperawatan/Kesehatan,64.0,0.5,False
Psikologi,64.0,0.5,False
Sekretaris,64.0,0.5,False
Politik/Pemerintahan,63.0,0.5,False
Teknik Sipil,50.0,0.4,False
Desain,47.0,0.4,False
Pendidikan Guru SD,46.0,0.4,False
Fotografi/Grafika/Seni,42.0,0.3,False
"Geografi, geofisika, atau geologi",40.0,0.3,False
Matematika,36.0,0.3,False
Sosiologi,34.0,0.3,False
Bimbingan Konseling,31.0,0.2,False
Arsitektur,31.0,0.2,False
Keuangan dan Perbankan,30.0,0.2,False
Filsafat/Agama/Teologi,28.0,0.2,False
Penata Tari,26.0,0.2,False
Biologi,26.0,0.2,False
Kedokteran Umum,26.0,0.2,False
Pertambangan/Gas/Minyak,25.0,0.2,False
Farmasi,25.0,0.2,False
"Keterampilan kain, keramik, kayu, atau boga",23.0,0.2,False
Kimia,23.0,0.2,False
"Film, Televisi, Radio",21.0,0.2,False
Antropologi/Sejarah,18.0,0.1,False
Teknik Kimia,18.0,0.1,False
Kedokteran Gigi,16.0,0.1,False
Kebidanan,16.0,0.1,False
Jurnalistik,16.0,0.1,False
Kearsipan,15.0,0.1,False
Humaniora,14.0,0.1,False
Ternak/Kedokteran Hewan,14.0,0.1,False
Analis Kesehatan,14.0,0.1,False
Pekerja Sosial,14.0,0.1,False
Kedokteran Spesialis,13.0,0.1,False
Hubungan internasional,13.0,0.1,False
Pendidikan Luar Biasa,13.0,0.1,False
Gizi,13.0,0.1,False
Pendidikan Dasar,13.0,0.1,False
Fisika,12.0,0.1,False
Transportasi/Pelayaran/Penerbangan,12.0,0.1,False
Komunikasi,11.0,0.1,False
Pendidikan Luar Sekolah,10.0,0.1,False
Kajian ketahanan dan kemiliteran,8.0,0.1,False
Statistik,7.0,0.1,False
Lingkungan/Kehutanan/Kelautan,7.0,0.1,False
Agribisnis/Perikanan,6.0,0.0,False
Analis Lingkungan,,,True
Akupuntur,,,True
Perpustakaan,,,True
Pertanahan,,,True
Perencanaan wilayah dan kota,,,True
Pemandu Wisata,,,True
Pendidikan Fisik,,,True
Fisioterapi,,,True
Asuransi,,,True
