wilayah,kelompok,lingkungan,jiwa,keluarga,lansia,rt_satu_orang,kk_tercatat,perlu_bantuan,indeks_kerentanan
Patangpuluhan,GBM,Bugisan Kidul,61,23,21,5,23,6,68.9
Gereja Barat Utara,Gereja Induk,Suryowijayan Utara,115,53,27,20,53,10,66.7
Gereja Timur,Gereja Induk,Brontokusuman,117,53,27,20,52,8,63.7
Patehan,Gereja Induk,Ngadisuryan,144,56,37,18,56,10,63.3
Panembahan,Gereja Induk,Langenastran,60,26,22,8,26,0,59.4
Patangpuluhan,GBM,Bugisan Lor,21,9,7,3,9,0,58.4
Gereja Tengah Utara,Gereja Induk,Pugeran Timur,84,31,16,10,31,6,58.1
Gereja Barat Selatan,Gereja Induk,Gedongkiwo Tengah,202,68,40,11,68,24,57.1
Wirobrajan,GBM,Wirobrajan Wetan Lor,70,33,14,13,33,2,55.2
Gereja Tengah Selatan,Gereja Induk,Minggiran Selatan,204,71,38,17,71,17,54.1
Gereja Timur,Gereja Induk,Mantrijeron,102,45,21,17,45,2,53.2
Wirobrajan,GBM,Wirobrajan Kulon Lor,92,37,13,10,37,9,52.7
Gereja Barat Utara,Gereja Induk,Tejokusuman,84,35,17,11,32,3,51.2
Patangpuluhan,GBM,Patangpuluhan Lor,139,50,32,9,50,10,50.4
Gereja Tengah Selatan,Gereja Induk,Suryodiningratan Timur,191,75,39,21,75,8,49.4
Kembaran,Sempu,Kembaran Wetan,126,40,5,6,40,18,48.1
Gereja Tengah Selatan,Gereja Induk,Minggiran Utara,143,59,30,15,59,6,47.4
Gereja Timur,Gereja Induk,Ngadinegaran,89,34,25,6,33,3,46.8
Ketanggungan,GBM,Ketanggungan Lor,121,48,26,14,47,2,46.7
Padokan,Padokan,Padokan Lor,159,58,43,11,58,5,46.6
Patehan,Gereja Induk,Taman Selatan,185,64,33,14,64,10,45.4
Ngestiharjo Lor,GBM,Sonopakis,215,84,38,21,83,10,45.3
Wirobrajan,GBM,Wirobrajan Kulon Kidul,124,42,28,8,42,5,44.8
Gereja Timur,Gereja Induk,Danunegaran,106,37,18,6,37,8,44.3
Ketanggungan,GBM,Ketanggungan Kidul,121,51,19,15,49,4,44.3
Wirobrajan,GBM,Wirobrajan Kulon Tengah,143,45,34,6,45,7,43.8
Panembahan,Gereja Induk,Suryoputran,161,55,30,10,55,9,43.6
Gereja Tengah Utara,Gereja Induk,Kumendaman Utara,136,48,23,12,48,5,43.3
Gereja Tengah Selatan,Gereja Induk,Suryodiningratan Barat,208,73,39,16,73,8,42.9
Patangpuluhan,GBM,Bugisan Wetan,95,38,16,11,38,2,42.8
Gereja Timur,Gereja Induk,Mangkuyudan,181,65,37,13,65,7,42.7
Wirobrajan,GBM,Wirobrajan Wetan Tengah,70,27,15,4,27,4,42.3
Gereja Barat Utara,Gereja Induk,Gendingan,247,81,52,10,81,14,41.7
Gereja Barat Selatan,Gereja Induk,Dukuh Utara,247,81,52,10,81,14,41.7
Patehan,Gereja Induk,Patehan,100,36,24,6,36,3,41.5
Gereja Timur,Gereja Induk,Timuran,131,48,26,10,47,4,41.2
Wirobrajan,GBM,Wirobrajan Wetan Kidul,79,29,14,7,29,2,40.8
Kadipaten,Gereja Induk,Ngasem,143,54,27,13,48,2,39.8
Gereja Timur,Gereja Induk,Jogokaryan,244,89,46,20,84,5,39.8
Bangunjiwo,Sempu,Bangunjiwo Timur,155,52,30,7,52,8,39.6
