kategori,jiwa,persen,disamarkan
Belum menikah,5391.0,42.7,False
Perkawinan sah secara Katolik,4938.0,39.1,False
Perkawinan sah dengan pasangan beda agama,463.0,3.7,False
Perkawinan sah dengan pasangan beda gereja,140.0,1.1,False
Menikah lagi,530.0,4.2,False
Kawin belum sah menurut Gereja,47.0,0.4,False
Hidup bersama tanpa perkawinan,5.0,0.0,False
Perkawinan dengan akibat sipil,,,True
Janda atau duda,869.0,6.9,False
Ditinggalkan pasangan,92.0,0.7,False
"Imam, bruder, atau suster yang berkarya di Pugeran",16.0,0.1,False
"Imam, bruder, atau suster yang berasal dari Pugeran",10.0,0.1,False
Tidak tercatat,112.0,0.9,False
