kategori,jiwa,persen,disamarkan
Jawa,11784.0,93.4,False
Tionghoa,331.0,2.6,False
Tidak tercatat,177.0,1.4,False
Batak,81.0,0.6,False
Flores,50.0,0.4,False
Ambon,41.0,0.3,False
Suku lainnya,29.0,0.2,False
Timor,18.0,0.1,False
Bali,16.0,0.1,False
Dayak,15.0,0.1,False
Papua,14.0,0.1,False
Makassar,9.0,0.1,False
Komering,8.0,0.1,False
Toraja,8.0,0.1,False
Sunda,7.0,0.1,False
Bukan suku Indonesia,6.0,0.0,False
Sumbawa,6.0,0.0,False
Betawi,6.0,0.0,False
Batuputih,5.0,0.0,False
Bugis,,,True
Sumatera Selatan,,,True
