kategori,jiwa,persen,disamarkan
Tinggal di wilayah paroki,11848.0,93.9,False
Tidak tercatat,324.0,2.6,False
Jakarta,149.0,1.2,False
Indekos di wilayah paroki,69.0,0.5,False
Paroki lain,50.0,0.4,False
Surabaya,23.0,0.2,False
Paroki lain di Keuskupan Agung Semarang,23.0,0.2,False
Luar negeri,15.0,0.1,False
Luar Keuskupan Agung Semarang,14.0,0.1,False
Bandung,12.0,0.1,False
Denpasar,10.0,0.1,False
Jayapura,6.0,0.0,False
Malang,6.0,0.0,False
Bogor,6.0,0.0,False
Samarinda,5.0,0.0,False
Pangkal Pinang,5.0,0.0,False
Semarang,5.0,0.0,False
Purwokerto,5.0,0.0,False
Palangka Raya,5.0,0.0,False
Atambua,5.0,0.0,False
Palembang,,,True
Pontianak,,,True
Padang,,,True
Kupang,,,True
Tanjung Karang,,,True
Banjarmasin,,,True
Medan,,,True
Timika,,,True
Larantuka,,,True
Manado,,,True
Maumere,,,True
Ambon,,,True
