wilayah,jiwa,kelompok
Jogonalan,1067,Padokan
Gereja Timur,970,Gereja Induk
Gereja Tengah Selatan,957,Gereja Induk
Gereja Barat Selatan,956,Gereja Induk
Bangunjiwo,917,Sempu
Ngestiharjo Kidul,727,GBM
Ngestiharjo Lor,720,GBM
Patangpuluhan,714,GBM
Gereja Barat Utara,687,Gereja Induk
Padokan,613,Padokan
Wirobrajan,578,GBM
Patehan,563,Gereja Induk
Tamantirto,533,Sempu
Bangunharjo,497,Bangunharjo
Gereja Tengah Utara,495,Gereja Induk
Kadipaten,435,Gereja Induk
Panembahan,417,Gereja Induk
Kembaran,409,Sempu
Ketanggungan,353,GBM
